DocID,publish_time,feed_code,source_url,headline_text,language
1979143,2018-08-24 00:00:00,w3-asianage,http://www.asianage.com/metros/mumbai/240818/21000-tree-falling-incidents-claimed-30-lives-in-5-years-rti.html,"21,000 tree falling incidents claimed 30 lives in 5 years: RTI",en
1979144,2018-08-24 00:00:00,w3-businessinsider,https://www.businessinsider.com/revival-affordable-vintage-rug-startup-2018-4,This vintage rug company is on track to make $1 million within its first year -- its rugs are both beautiful and affordable,en
1979145,2018-08-24 00:00:00,w3-cbc-ca,https://www.cbc.ca/news/canada/edmonton/misericordia-hospital-water-leak-1.4796804?cmp=rss,"Misericordia Hospital ER to reopen Friday morning, AHS says",en
1979146,2018-08-24 00:00:00,w3-wn,https://article.wn.com/view/2018/08/23/Ventas_CEO_Named_to_Modern_Healthcare_s_List_of_100_Most_Inf/,Ventas CEO Named to Modern Healthcare's List of 100 Most Influential People in Healthcare,en
1979147,2018-08-24 00:00:00,w3-wn,https://article.wn.com/view/2018/08/23/NFL_player_s_diagnosis_shines_light_on_GuillainBarre_syndrom/,NFL player's diagnosis shines light on Guillain-Barré syndrome,en
1979148,2018-08-24 00:00:00,w3-wn,https://article.wn.com/view/2018/08/23/Klick_Health_Deepens_Medical_Strategy_Bench_to_Support_Huge__a/,Klick Health Deepens Medical Strategy Bench to Support Huge Growth,en
1979149,2018-08-24 00:00:00,w3-wn,https://article.wn.com/view/2018/08/23/Global_Laboratory_Information_Management_Systems_LIMS_Market_o/,Global Laboratory Information Management Systems (LIMS) Market to 2025 - ResearchAndMarkets.com,en
1979150,2018-08-24 00:00:00,w3-wn,https://article.wn.com/view/2018/08/23/Arkansas_abortion_pills_restriction_remains_on_hold_nc/,Arkansas abortion pills restriction remains on hold,en
1979151,2018-08-24 00:00:00,w3-wjbc,http://www.wjbc.com/news/manafort-jury-form-confirms-11-1-split/,Manafort jury form confirms 11-1 split,en
1979152,2018-08-24 00:00:00,w3-tribune242,http://www.tribune242.com/news/2018/aug/23/mans-body-pulled-sea/,Man's body pulled from sea,en
1979153,2018-08-24 00:00:00,w3-theguardian,https://www.theguardian.com/science/2018/aug/23/spacewatch-aeolus-to-track-the-winds,Spacewatch: Aeolus to track the winds,en
1979154,2018-08-24 00:00:00,w3-sturgisjournal,http://www.sturgisjournal.com/news/20180823/mountain-bike-trail-progress-continues-with-trail-day?rssfeed=true,Mountain bike trail progress continues with 'Trail Day',en
1979155,2018-08-24 00:00:00,w3-wn,https://article.wn.com/view/2018/08/23/Stem_Cell_Therapies_in_CVMD_20182025_New_Stem_Cell_Therapy_A/,Stem Cell Therapies in CVMD 2018-2025 - New Stem Cell Therapy Approvals will Drive CVMD ...,en
